,year,vegan,vegetarian,other
0,1999,0.10501089324618737,0.4300653594771242,0.46492374727668845
1,2000,0.09027169149868536,0.3803680981595092,0.5293602103418055
2,2001,0.1263295390931144,0.37395036387385705,0.49972009703302855
3,2002,0.10440296507993213,0.3838974725372868,0.5116995623827811
4,2003,0.10349636417969918,0.3856459806753661,0.5108576551449348
5,2004,0.09889811648482874,0.3905444281604516,0.5105574553547196
6,2005,0.10285327619262434,0.3963008909439495,0.5008458328634262
7,2006,0.11112560323464198,0.379026998826138,0.5098473979392201
8,2007,0.11541238974570589,0.3657863516789601,0.518801258575334
9,2008,0.1167006636596087,0.36929353291004685,0.5140058034303445
10,2009,0.11569988626112876,0.36490567517747186,0.5193944385613993
11,2010,0.13559445130365314,0.35224054034425156,0.5121650083520953
12,2011,0.13083897624239643,0.34844485251922414,0.5207161712383794
13,2012,0.1212942571573776,0.34101304421480605,0.5376926986278163
14,2013,0.13345521023765997,0.31581352833638027,0.5507312614259597
15,2014,0.11625947767481044,0.34540859309182814,0.5383319292333614
16,2015,0.09198813056379822,0.28486646884273,0.6231454005934718
17,2016,0.1282051282051282,0.3717948717948718,0.5
18,2017,0.09433962264150944,0.4056603773584906,0.5
19,2018,0.07804878048780488,0.34146341463414637,0.5804878048780487
